hidden layers: 2, neurons: 4, epochs: 4, time: 6.807077407836914 loss: 0.723818945192 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 4, epochs: 8, time: 11.515932559967041 loss: 0.681593396023 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 4, epochs: 16, time: 26.921744108200073 loss: 0.669818816729 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 4, epochs: 32, time: 40.114943981170654 loss: 0.615849912234 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 4, epochs: 64, time: 77.62141919136047 loss: 0.661944352757 categorical_accuracy: 0.62307044632
hidden layers: 2, neurons: 8, epochs: 4, time: 6.829163312911987 loss: 0.682230164856 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 8, epochs: 8, time: 11.301056861877441 loss: 0.649319023136 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 8, epochs: 16, time: 21.618906021118164 loss: 0.604990688211 categorical_accuracy: 0.696323323093
hidden layers: 2, neurons: 8, epochs: 32, time: 40.342235803604126 loss: 0.632390042888 categorical_accuracy: 0.655627280449
hidden layers: 2, neurons: 8, epochs: 64, time: 78.56930255889893 loss: 0.528017151483 categorical_accuracy: 0.708111142338
hidden layers: 2, neurons: 16, epochs: 4, time: 7.079092502593994 loss: 0.562343148512 categorical_accuracy: 0.710917765969
hidden layers: 2, neurons: 16, epochs: 8, time: 12.275338172912598 loss: 0.50990048035 categorical_accuracy: 0.75470109455
hidden layers: 2, neurons: 16, epochs: 16, time: 22.52841281890869 loss: 0.481722726502 categorical_accuracy: 0.781083356772
hidden layers: 2, neurons: 16, epochs: 32, time: 42.47869038581848 loss: 0.468969905105 categorical_accuracy: 0.762559640819
hidden layers: 2, neurons: 16, epochs: 64, time: 83.2468249797821 loss: 0.534432410692 categorical_accuracy: 0.719056974426
hidden layers: 2, neurons: 32, epochs: 4, time: 8.622530221939087 loss: 0.576783329274 categorical_accuracy: 0.601459444255
hidden layers: 2, neurons: 32, epochs: 8, time: 13.021936178207397 loss: 0.527049106977 categorical_accuracy: 0.728318832495
hidden layers: 2, neurons: 32, epochs: 16, time: 23.76256489753723 loss: 0.520325976277 categorical_accuracy: 0.753578445197
hidden layers: 2, neurons: 32, epochs: 32, time: 44.483261823654175 loss: 0.459389767234 categorical_accuracy: 0.7841706427
hidden layers: 2, neurons: 32, epochs: 64, time: 88.01949906349182 loss: 0.475721075265 categorical_accuracy: 0.763401627808
hidden layers: 2, neurons: 64, epochs: 4, time: 8.951072454452515 loss: 0.497931509031 categorical_accuracy: 0.745158574285
hidden layers: 2, neurons: 64, epochs: 8, time: 14.957470655441284 loss: 0.531935903369 categorical_accuracy: 0.748807184923
hidden layers: 2, neurons: 64, epochs: 16, time: 26.45244312286377 loss: 0.45630320971 categorical_accuracy: 0.7855739546
hidden layers: 2, neurons: 64, epochs: 32, time: 50.64969539642334 loss: 0.477131345668 categorical_accuracy: 0.762840303182
hidden layers: 2, neurons: 64, epochs: 64, time: 98.54390358924866 loss: 0.525209992162 categorical_accuracy: 0.760314341914
hidden layers: 2, neurons: 128, epochs: 4, time: 13.846466064453125 loss: 0.519849251269 categorical_accuracy: 0.737300028033
hidden layers: 2, neurons: 128, epochs: 8, time: 24.350139141082764 loss: 0.495512910332 categorical_accuracy: 0.729441481964
hidden layers: 2, neurons: 128, epochs: 16, time: 46.13235902786255 loss: 0.481820611381 categorical_accuracy: 0.774066797709
hidden layers: 2, neurons: 128, epochs: 32, time: 88.64337253570557 loss: 0.498631954394 categorical_accuracy: 0.755823744002
hidden layers: 2, neurons: 128, epochs: 64, time: 173.4660837650299 loss: 0.491839224816 categorical_accuracy: 0.768172887999
hidden layers: 4, neurons: 4, epochs: 4, time: 14.153852224349976 loss: 0.709656787494 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 4, epochs: 8, time: 22.121214628219604 loss: 0.681204169913 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 4, epochs: 16, time: 38.78736114501953 loss: 0.674021215008 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 4, epochs: 32, time: 73.80978894233704 loss: 0.672490592539 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 4, epochs: 64, time: 142.81973671913147 loss: 0.623354776686 categorical_accuracy: 0.676396295299
hidden layers: 4, neurons: 8, epochs: 4, time: 14.597985029220581 loss: 0.681126930273 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 8, epochs: 8, time: 23.355070114135742 loss: 0.674896266565 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 8, epochs: 16, time: 40.77941846847534 loss: 0.62229478028 categorical_accuracy: 0.681167555498
hidden layers: 4, neurons: 8, epochs: 32, time: 75.74395489692688 loss: 0.558569418591 categorical_accuracy: 0.70081392082
hidden layers: 4, neurons: 8, epochs: 64, time: 145.70962715148926 loss: 0.512436186719 categorical_accuracy: 0.751333146292
hidden layers: 4, neurons: 16, epochs: 4, time: 16.0158748626709 loss: 0.666739219633 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 16, epochs: 8, time: 24.925430297851562 loss: 0.673137774502 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 16, epochs: 16, time: 42.20788335800171 loss: 0.629280066761 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 16, epochs: 32, time: 77.30331015586853 loss: 0.458773028038 categorical_accuracy: 0.768172888066
hidden layers: 4, neurons: 16, epochs: 64, time: 148.0000774860382 loss: 0.45210347641 categorical_accuracy: 0.793713163132
hidden layers: 4, neurons: 32, epochs: 4, time: 16.710466384887695 loss: 0.529451210111 categorical_accuracy: 0.740948638754
hidden layers: 4, neurons: 32, epochs: 8, time: 28.10749578475952 loss: 0.531042114507 categorical_accuracy: 0.731967443132
hidden layers: 4, neurons: 32, epochs: 16, time: 45.048404932022095 loss: 0.600390582599 categorical_accuracy: 0.697726634908
hidden layers: 4, neurons: 32, epochs: 32, time: 82.79572892189026 loss: 0.450688775105 categorical_accuracy: 0.784170642784
hidden layers: 4, neurons: 32, epochs: 64, time: 157.14395833015442 loss: 0.499977967761 categorical_accuracy: 0.774628122335
hidden layers: 4, neurons: 64, epochs: 4, time: 19.278388023376465 loss: 0.613413937016 categorical_accuracy: 0.601459444255
hidden layers: 4, neurons: 64, epochs: 8, time: 30.382375717163086 loss: 0.505152406868 categorical_accuracy: 0.763120965445
hidden layers: 4, neurons: 64, epochs: 16, time: 53.74450659751892 loss: 0.501479714164 categorical_accuracy: 0.765085602004
hidden layers: 4, neurons: 64, epochs: 32, time: 99.90475225448608 loss: 0.511172995569 categorical_accuracy: 0.73000280659
hidden layers: 4, neurons: 64, epochs: 64, time: 192.6016447544098 loss: 0.504360853103 categorical_accuracy: 0.760314341813
hidden layers: 4, neurons: 128, epochs: 4, time: 31.21153211593628 loss: 0.494142041108 categorical_accuracy: 0.765366264451
hidden layers: 4, neurons: 128, epochs: 8, time: 52.00333881378174 loss: 0.518595101808 categorical_accuracy: 0.737580690396
hidden layers: 4, neurons: 128, epochs: 16, time: 96.94938445091248 loss: 0.503296038608 categorical_accuracy: 0.742913275313
hidden layers: 4, neurons: 128, epochs: 32, time: 201.69598698616028 loss: 0.560175412263 categorical_accuracy: 0.696603985456
hidden layers: 4, neurons: 128, epochs: 64, time: 394.25817012786865 loss: 0.498381512623 categorical_accuracy: 0.760595004277
hidden layers: 6, neurons: 4, epochs: 4, time: 23.80246353149414 loss: 0.709145824661 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 4, epochs: 8, time: 35.72107934951782 loss: 0.682370807627 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 4, epochs: 16, time: 60.42955303192139 loss: 0.674112052319 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 4, epochs: 32, time: 115.532222032547 loss: 0.672496700886 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 4, epochs: 64, time: 210.9209439754486 loss: 0.620792287941 categorical_accuracy: 0.675834970581
hidden layers: 6, neurons: 8, epochs: 4, time: 25.416218280792236 loss: 0.686574923935 categorical_accuracy: 0.601459444255
