hidden layers: 2, neurons: 4, epochs: 16, time: 17.74968695640564 loss: 0.766809398539 categorical_accuracy: 0.823033707865
hidden layers: 2, neurons: 4, epochs: 32, time: 29.84925127029419 loss: 0.357005819176 categorical_accuracy: 0.959269662921
hidden layers: 2, neurons: 4, epochs: 64, time: 53.47178339958191 loss: 0.169824229532 categorical_accuracy: 0.977528089888
hidden layers: 2, neurons: 4, epochs: 128, time: 99.0745792388916 loss: 0.131573110986 categorical_accuracy: 0.979634831461
hidden layers: 2, neurons: 8, epochs: 16, time: 20.242756605148315 loss: 0.498066254546 categorical_accuracy: 0.957162921348
hidden layers: 2, neurons: 8, epochs: 32, time: 31.581323623657227 loss: 0.300099806504 categorical_accuracy: 0.967696629213
hidden layers: 2, neurons: 8, epochs: 64, time: 63.65202617645264 loss: 0.152657274115 categorical_accuracy: 0.973314606742
hidden layers: 2, neurons: 8, epochs: 128, time: 119.02493810653687 loss: 0.122035139565 categorical_accuracy: 0.97893258427
hidden layers: 2, neurons: 16, epochs: 16, time: 24.23823857307434 loss: 0.358267144541 categorical_accuracy: 0.969803370787
hidden layers: 2, neurons: 16, epochs: 32, time: 43.1828556060791 loss: 0.237630460704 categorical_accuracy: 0.972612359551
hidden layers: 2, neurons: 16, epochs: 64, time: 74.95916199684143 loss: 0.137390845612 categorical_accuracy: 0.976123595506
hidden layers: 2, neurons: 16, epochs: 128, time: 126.35967373847961 loss: 0.0828597258483 categorical_accuracy: 0.983146067416
hidden layers: 2, neurons: 32, epochs: 16, time: 25.738829851150513 loss: 0.261663710468 categorical_accuracy: 0.972612359551
hidden layers: 2, neurons: 32, epochs: 32, time: 39.96259665489197 loss: 0.184024878767 categorical_accuracy: 0.976123595506
hidden layers: 2, neurons: 32, epochs: 64, time: 68.47351503372192 loss: 0.105304254072 categorical_accuracy: 0.984550561798
hidden layers: 2, neurons: 32, epochs: 128, time: 125.47046756744385 loss: 0.0679577665215 categorical_accuracy: 0.984550561798
hidden layers: 2, neurons: 64, epochs: 16, time: 30.336150884628296 loss: 0.203363577302 categorical_accuracy: 0.980337078652
hidden layers: 2, neurons: 64, epochs: 32, time: 47.817246198654175 loss: 0.145214998823 categorical_accuracy: 0.981741573034
hidden layers: 2, neurons: 64, epochs: 64, time: 83.96195459365845 loss: 0.079912580466 categorical_accuracy: 0.986657303371
hidden layers: 2, neurons: 64, epochs: 128, time: 150.33009481430054 loss: 0.0613456124837 categorical_accuracy: 0.98595505618
hidden layers: 2, neurons: 128, epochs: 16, time: 42.69851636886597 loss: 0.153916915648 categorical_accuracy: 0.979634831461
hidden layers: 2, neurons: 128, epochs: 32, time: 70.62519478797913 loss: 0.12039823646 categorical_accuracy: 0.986657303371
hidden layers: 2, neurons: 128, epochs: 64, time: 128.20174145698547 loss: 0.0734752095147 categorical_accuracy: 0.986657303371
hidden layers: 2, neurons: 128, epochs: 128, time: 256.76913189888 loss: 0.0487189269468 categorical_accuracy: 0.987359550562
hidden layers: 4, neurons: 4, epochs: 16, time: 41.432658433914185 loss: 0.768431334013 categorical_accuracy: 0.823033707865
hidden layers: 4, neurons: 4, epochs: 32, time: 63.739238023757935 loss: 0.363225044494 categorical_accuracy: 0.950842696629
hidden layers: 4, neurons: 4, epochs: 64, time: 114.05444121360779 loss: 0.259311418855 categorical_accuracy: 0.823033707865
hidden layers: 4, neurons: 4, epochs: 128, time: 214.61848711967468 loss: 0.147716609949 categorical_accuracy: 0.959269662921
hidden layers: 4, neurons: 8, epochs: 16, time: 46.69312047958374 loss: 0.6354087042 categorical_accuracy: 0.823033707865
hidden layers: 4, neurons: 8, epochs: 32, time: 72.33438324928284 loss: 0.284452713942 categorical_accuracy: 0.971207865169
hidden layers: 4, neurons: 8, epochs: 64, time: 120.94153714179993 loss: 0.136609334624 categorical_accuracy: 0.975421348315
hidden layers: 4, neurons: 8, epochs: 128, time: 197.48082566261292 loss: 0.0933826473657 categorical_accuracy: 0.980337078652
hidden layers: 4, neurons: 16, epochs: 16, time: 52.12065410614014 loss: 0.356365578228 categorical_accuracy: 0.975421348315
hidden layers: 4, neurons: 16, epochs: 32, time: 72.18134784698486 loss: 0.213810977306 categorical_accuracy: 0.981039325843
hidden layers: 4, neurons: 16, epochs: 64, time: 118.65394186973572 loss: 0.110886617658 categorical_accuracy: 0.983848314607
hidden layers: 4, neurons: 16, epochs: 128, time: 206.00528597831726 loss: 0.0758602844363 categorical_accuracy: 0.983146067416
hidden layers: 4, neurons: 32, epochs: 16, time: 54.86110186576843 loss: 0.250986243567 categorical_accuracy: 0.978230337079
hidden layers: 4, neurons: 32, epochs: 32, time: 79.80219006538391 loss: 0.166500288449 categorical_accuracy: 0.982443820225
hidden layers: 4, neurons: 32, epochs: 64, time: 136.42952919006348 loss: 0.0911605640241 categorical_accuracy: 0.98595505618
hidden layers: 4, neurons: 32, epochs: 128, time: 228.51893067359924 loss: 0.0658134231658 categorical_accuracy: 0.984550561798
hidden layers: 4, neurons: 64, epochs: 16, time: 64.21423959732056 loss: 0.188271625993 categorical_accuracy: 0.979634831461
hidden layers: 4, neurons: 64, epochs: 32, time: 96.83562159538269 loss: 0.134556795272 categorical_accuracy: 0.981741573034
hidden layers: 4, neurons: 64, epochs: 64, time: 168.1919367313385 loss: 0.0790929165616 categorical_accuracy: 0.983848314607
hidden layers: 4, neurons: 64, epochs: 128, time: 301.22766160964966 loss: 0.0538164221504 categorical_accuracy: 0.990870786517
hidden layers: 4, neurons: 128, epochs: 16, time: 89.31758427619934 loss: 0.136574449332 categorical_accuracy: 0.984550561798
hidden layers: 4, neurons: 128, epochs: 32, time: 147.93325781822205 loss: 0.107992779003 categorical_accuracy: 0.981039325843
hidden layers: 4, neurons: 128, epochs: 64, time: 294.4394838809967 loss: 0.0658185156376 categorical_accuracy: 0.985252808989
hidden layers: 4, neurons: 128, epochs: 128, time: 465.5613594055176 loss: 0.0507739442872 categorical_accuracy: 0.989466292135
hidden layers: 6, neurons: 4, epochs: 16, time: 85.63079142570496 loss: 0.767485348026 categorical_accuracy: 0.823033707865
hidden layers: 6, neurons: 4, epochs: 32, time: 121.04215788841248 loss: 0.582043105967 categorical_accuracy: 0.823033707865
hidden layers: 6, neurons: 4, epochs: 64, time: 187.3320710659027 loss: 0.277061210255 categorical_accuracy: 0.823033707865
hidden layers: 6, neurons: 4, epochs: 128, time: 327.15797424316406 loss: 0.205485102668 categorical_accuracy: 0.933988764045
hidden layers: 6, neurons: 8, epochs: 16, time: 780.0980155467987 loss: 0.699739880776 categorical_accuracy: 0.823033707865
hidden layers: 6, neurons: 8, epochs: 32, time: 136.7900996208191 loss: 0.567635527488 categorical_accuracy: 0.823033707865
hidden layers: 6, neurons: 8, epochs: 64, time: 220.78974604606628 loss: 0.145811467526 categorical_accuracy: 0.969803370787
hidden layers: 6, neurons: 8, epochs: 128, time: 394.47600412368774 loss: 0.102918212333 categorical_accuracy: 0.976825842697
hidden layers: 6, neurons: 16, epochs: 16, time: 95.13646817207336 loss: 0.355737967438 categorical_accuracy: 0.975421348315
hidden layers: 6, neurons: 16, epochs: 32, time: 136.8901720046997 loss: 0.224080198936 categorical_accuracy: 0.977528089888
hidden layers: 6, neurons: 16, epochs: 64, time: 202.74730038642883 loss: 0.108289192232 categorical_accuracy: 0.979634831461
hidden layers: 6, neurons: 16, epochs: 128, time: 349.22263741493225 loss: 0.0695817501106 categorical_accuracy: 0.987359550562
hidden layers: 6, neurons: 32, epochs: 16, time: 43.70089077949524 loss: 0.264206297947 categorical_accuracy: 0.970505617978
hidden layers: 6, neurons: 64, epochs: 16, time: 49.571378231048584 loss: 0.211440361953 categorical_accuracy: 0.969101123596
hidden layers: 6, neurons: 128, epochs: 16, time: 80.99604535102844 loss: 0.159690476703 categorical_accuracy: 0.969101123596
hidden layers: 6, neurons: 32, epochs: 32, time: 71.7721598148346 loss: 0.178096907695 categorical_accuracy: 0.974016853933
hidden layers: 6, neurons: 64, epochs: 32, time: 88.4421284198761 loss: 0.147351816631 categorical_accuracy: 0.976123595506
hidden layers: 6, neurons: 128, epochs: 32, time: 151.13080525398254 loss: 0.128905492552 categorical_accuracy: 0.97893258427
hidden layers: 6, neurons: 32, epochs: 64, time: 135.1486656665802 loss: 0.105401199353 categorical_accuracy: 0.977528089888
hidden layers: 6, neurons: 64, epochs: 64, time: 166.15653657913208 loss: 0.0911001969924 categorical_accuracy: 0.976825842697
hidden layers: 6, neurons: 128, epochs: 64, time: 288.6435561180115 loss: 0.079574404975 categorical_accuracy: 0.979634831461
hidden layers: 6, neurons: 32, epochs: 128, time: 259.11556816101074 loss: 0.0768996999923 categorical_accuracy: 0.980337078652
hidden layers: 6, neurons: 64, epochs: 128, time: 319.46163988113403 loss: 0.0668888058137 categorical_accuracy: 0.981741573034
hidden layers: 6, neurons: 128, epochs: 128, time: 557.993100643158 loss: 0.0746045293014 categorical_accuracy: 0.976825842697
hidden layers: 8, neurons: 4, epochs: 16, time: 64.47615242004395 loss: 0.761582054449 categorical_accuracy: 0.82654494382
hidden layers: 8, neurons: 4, epochs: 32, time: 99.65153980255127 loss: 0.575411811973 categorical_accuracy: 0.82654494382
hidden layers: 8, neurons: 4, epochs: 64, time: 174.49797534942627 loss: 0.47319126598 categorical_accuracy: 0.82654494382
hidden layers: 8, neurons: 4, epochs: 128, time: 313.7425491809845 loss: 0.210838629289 categorical_accuracy: 0.939606741573
hidden layers: 8, neurons: 8, epochs: 16, time: 73.27808451652527 loss: 0.693271322197 categorical_accuracy: 0.82654494382
hidden layers: 8, neurons: 8, epochs: 32, time: 110.78556776046753 loss: 0.560362395276 categorical_accuracy: 0.82654494382
hidden layers: 8, neurons: 8, epochs: 64, time: 186.23224234580994 loss: 0.205369499125 categorical_accuracy: 0.934691011236
hidden layers: 8, neurons: 8, epochs: 128, time: 336.6603333950043 loss: 0.1216840117 categorical_accuracy: 0.967696629213
hidden layers: 8, neurons: 16, epochs: 16, time: 84.90928077697754 loss: 0.374277145005 categorical_accuracy: 0.961376404494
